island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,species
Torgersen,39.1,18.7,181,3750,MALE,Adelie
Torgersen,39.5,17.4,186,3800,FEMALE,Adelie
Torgersen,40.3,18,195,3250,FEMALE,Adelie
Torgersen,36.7,19.3,193,3450,FEMALE,Adelie
Torgersen,39.3,20.6,190,3650,MALE,Adelie
Torgersen,38.9,17.8,181,3625,FEMALE,Adelie
Torgersen,39.2,19.6,195,4675,MALE,Adelie
Torgersen,41.1,17.6,182,3200,FEMALE,Adelie
Torgersen,38.6,21.2,191,3800,MALE,Adelie
Torgersen,34.6,21.1,198,4400,MALE,Adelie
Torgersen,36.6,17.8,185,3700,FEMALE,Adelie
Torgersen,38.7,19,195,3450,FEMALE,Adelie
Torgersen,42.5,20.7,197,4500,MALE,Adelie
Torgersen,34.4,18.4,184,3325,FEMALE,Adelie
Torgersen,46,21.5,194,4200,MALE,Adelie
Biscoe,37.8,18.3,174,3400,FEMALE,Adelie
Biscoe,37.7,18.7,180,3600,MALE,Adelie
Biscoe,35.9,19.2,189,3800,FEMALE,Adelie
Biscoe,38.2,18.1,185,3950,MALE,Adelie
Biscoe,38.8,17.2,180,3800,MALE,Adelie
Biscoe,35.3,18.9,187,3800,FEMALE,Adelie
Biscoe,40.6,18.6,183,3550,MALE,Adelie
Biscoe,40.5,17.9,187,3200,FEMALE,Adelie
Biscoe,37.9,18.6,172,3150,FEMALE,Adelie
Biscoe,40.5,18.9,180,3950,MALE,Adelie
Dream,39.5,16.7,178,3250,FEMALE,Adelie
Dream,37.2,18.1,178,3900,MALE,Adelie
Dream,39.5,17.8,188,3300,FEMALE,Adelie
Dream,40.9,18.9,184,3900,MALE,Adelie
Dream,36.4,17,195,3325,FEMALE,Adelie
Dream,39.2,21.1,196,4150,MALE,Adelie
Dream,38.8,20,190,3950,MALE,Adelie
Dream,42.2,18.5,180,3550,FEMALE,Adelie
Dream,37.6,19.3,181,3300,FEMALE,Adelie
Dream,39.8,19.1,184,4650,MALE,Adelie
Dream,36.5,18,182,3150,FEMALE,Adelie
Dream,40.8,18.4,195,3900,MALE,Adelie
Dream,36,18.5,186,3100,FEMALE,Adelie
Dream,44.1,19.7,196,4400,MALE,Adelie
Dream,37,16.9,185,3000,FEMALE,Adelie
Dream,39.6,18.8,190,4600,MALE,Adelie
Dream,41.1,19,182,3425,MALE,Adelie
Dream,36,17.9,190,3450,FEMALE,Adelie
Dream,42.3,21.2,191,4150,MALE,Adelie
Biscoe,39.6,17.7,186,3500,FEMALE,Adelie
Biscoe,40.1,18.9,188,4300,MALE,Adelie
Biscoe,35,17.9,190,3450,FEMALE,Adelie
Biscoe,42,19.5,200,4050,MALE,Adelie
Biscoe,34.5,18.1,187,2900,FEMALE,Adelie
Biscoe,41.4,18.6,191,3700,MALE,Adelie
Biscoe,39,17.5,186,3550,FEMALE,Adelie
Biscoe,40.6,18.8,193,3800,MALE,Adelie
Biscoe,36.5,16.6,181,2850,FEMALE,Adelie
Biscoe,37.6,19.1,194,3750,MALE,Adelie
Biscoe,35.7,16.9,185,3150,FEMALE,Adelie
Biscoe,41.3,21.1,195,4400,MALE,Adelie
Biscoe,37.6,17,185,3600,FEMALE,Adelie
Biscoe,41.1,18.2,192,4050,MALE,Adelie
Biscoe,36.4,17.1,184,2850,FEMALE,Adelie
Biscoe,41.6,18,192,3950,MALE,Adelie
Biscoe,35.5,16.2,195,3350,FEMALE,Adelie
Biscoe,41.1,19.1,188,4100,MALE,Adelie
Torgersen,35.9,16.6,190,3050,FEMALE,Adelie
Torgersen,41.8,19.4,198,4450,MALE,Adelie
Torgersen,33.5,19,190,3600,FEMALE,Adelie
Torgersen,39.7,18.4,190,3900,MALE,Adelie
Torgersen,39.6,17.2,196,3550,FEMALE,Adelie
Torgersen,45.8,18.9,197,4150,MALE,Adelie
Torgersen,35.5,17.5,190,3700,FEMALE,Adelie
Torgersen,42.8,18.5,195,4250,MALE,Adelie
Torgersen,40.9,16.8,191,3700,FEMALE,Adelie
Torgersen,37.2,19.4,184,3900,MALE,Adelie
Torgersen,36.2,16.1,187,3550,FEMALE,Adelie
Torgersen,42.1,19.1,195,4000,MALE,Adelie
Torgersen,34.6,17.2,189,3200,FEMALE,Adelie
Torgersen,42.9,17.6,196,4700,MALE,Adelie
Torgersen,36.7,18.8,187,3800,FEMALE,Adelie
Torgersen,35.1,19.4,193,4200,MALE,Adelie
Dream,37.3,17.8,191,3350,FEMALE,Adelie
Dream,41.3,20.3,194,3550,MALE,Adelie
Dream,36.3,19.5,190,3800,MALE,Adelie
Dream,36.9,18.6,189,3500,FEMALE,Adelie
Dream,38.3,19.2,189,3950,MALE,Adelie
Dream,38.9,18.8,190,3600,FEMALE,Adelie
Dream,35.7,18,202,3550,FEMALE,Adelie
Dream,41.1,18.1,205,4300,MALE,Adelie
Dream,34,17.1,185,3400,FEMALE,Adelie
Dream,39.6,18.1,186,4450,MALE,Adelie
Dream,36.2,17.3,187,3300,FEMALE,Adelie
Dream,40.8,18.9,208,4300,MALE,Adelie
Dream,38.1,18.6,190,3700,FEMALE,Adelie
Dream,40.3,18.5,196,4350,MALE,Adelie
Dream,33.1,16.1,178,2900,FEMALE,Adelie
Dream,43.2,18.5,192,4100,MALE,Adelie
Biscoe,35,17.9,192,3725,FEMALE,Adelie
Biscoe,41,20,203,4725,MALE,Adelie
Biscoe,37.7,16,183,3075,FEMALE,Adelie
Biscoe,37.8,20,190,4250,MALE,Adelie
Biscoe,37.9,18.6,193,2925,FEMALE,Adelie
Biscoe,39.7,18.9,184,3550,MALE,Adelie
